idind	idcol	CXSGT	M1079	M1102	M1106	M1112	M1113	M1551	M1975	M1979	M244	M809	M811	M813	M815	M831	PP1	PP3	run	col_origin	proba_col_origin	col_inferred	natal_disperser	proba_bin	proba_rank
3266	M831	0.06	0.042	0.052	0.064	0.049	0.045	0.062	0.054	0.057	0.076	0.048	0.043	0.056	0.038	0.141	0.05	0.061	2	M831	0.141	M831	FALSE	0.1 < p < 0.25	1
2130	M831	0.032	0.03	0.084	0.058	0.065	0.063	0.072	0.04	0.041	0.067	0.068	0.054	0.073	0.052	0.095	0.063	0.043	2	M831	0.095	M831	FALSE	p < 0.1	1
590	M244	0.039	0.056	0.044	0.085	0.059	0.061	0.062	0.042	0.029	0.106	0.046	0.061	0.062	0.059	0.056	0.059	0.072	2	M244	0.106	M244	FALSE	0.1 < p < 0.25	1
755	M1106	0.026	0.135	0.045	0.08	0.058	0.065	0.048	0.032	0.039	0.044	0.062	0.046	0.055	0.05	0.051	0.068	0.096	2	M1079	0.135	M1079	TRUE	0.1 < p < 0.25	1
1557	M831	0.03	0.036	0.071	0.063	0.056	0.08	0.075	0.069	0.075	0.063	0.061	0.053	0.052	0.045	0.062	0.051	0.059	2	M1113	0.08	M1113	TRUE	p < 0.1	1
3815	M1113	0.034	0.028	0.081	0.064	0.077	0.091	0.07	0.034	0.031	0.043	0.059	0.071	0.08	0.059	0.044	0.073	0.062	2	M1113	0.091	M1113	FALSE	p < 0.1	1
3916	M1079	0.094	0.188	0.047	0.059	0.045	0.058	0.049	0.045	0.041	0.043	0.052	0.047	0.046	0.04	0.037	0.047	0.062	2	M1079	0.188	M1079	FALSE	0.1 < p < 0.25	1
2360	M244	0.046	0.044	0.05	0.04	0.046	0.045	0.063	0.039	0.038	0.19	0.05	0.041	0.071	0.054	0.108	0.041	0.036	2	M244	0.19	M244	FALSE	0.1 < p < 0.25	1
3860	M1102	0.055	0.041	0.063	0.049	0.048	0.048	0.077	0.031	0.037	0.075	0.048	0.047	0.052	0.041	0.048	0.091	0.151	2	PP3	0.151	PP3	TRUE	0.1 < p < 0.25	1
3561	M831	0.06	0.063	0.048	0.065	0.046	0.038	0.067	0.037	0.054	0.109	0.056	0.043	0.051	0.04	0.111	0.044	0.07	2	M831	0.111	M831	FALSE	0.1 < p < 0.25	1
1821	M1975	0.034	0.041	0.054	0.073	0.049	0.049	0.066	0.146	0.043	0.061	0.058	0.058	0.046	0.054	0.058	0.061	0.049	2	M1975	0.146	M1975	FALSE	0.1 < p < 0.25	1
