idind	idcol	Thu20	Thu21	Thu22	Thu23	Thu24	Thu25	Thu26	Thu27	Thu28	Thu29	Thu30	Thu31	Thu32	Thu33	Thu34	Thu35	Thu36	Thu37	Thu38	Thu39	run	col_origin	proba_col_origin	col_inferred	natal_disperser	proba_bin	proba_rank
228	Thu32	0.088	0.007	0.209	0.08	0.007	0.039	0.023	0.031	0.008	0.08	0.007	0.008	0.047	0.037	0.026	0.013	0.038	0.094	0.057	0.102	7	Thu22	0.209	Thu22	TRUE	0.1 < p < 0.25	1
229	Thu32	0.05	0.004	0.114	0.094	0.006	0.017	0.014	0.064	0.004	0.093	0.005	0.005	0.204	0.027	0.013	0.006	0.083	0.045	0.02	0.133	7	Thu32	0.204	Thu32	FALSE	0.1 < p < 0.25	1
231	Thu32	0.091	0.006	0.036	0.06	0.006	0.025	0.017	0.039	0.006	0.082	0.006	0.007	0.048	0.062	0.011	0.008	0.089	0.063	0.034	0.303	7	Thu39	0.303	Thu39	TRUE	0.25 < p < 0.5	1
234	Thu36	0.114	0.018	0.024	0.026	0.009	0.033	0.069	0.034	0.013	0.034	0.007	0.014	0.171	0.066	0.036	0.022	0.068	0.147	0.047	0.047	7	Thu32	0.171	Thu32	TRUE	0.1 < p < 0.25	1
240	Thu26	0.102	0.006	0.041	0.043	0.006	0.11	0.057	0.035	0.005	0.039	0.005	0.005	0.03	0.05	0.223	0.008	0.032	0.074	0.039	0.091	7	Thu34	0.223	Thu34	TRUE	0.1 < p < 0.25	1
245	Thu33	0.03	0.008	0.065	0.069	0.008	0.019	0.031	0.072	0.006	0.032	0.006	0.011	0.027	0.124	0.037	0.089	0.091	0.078	0.108	0.09	7	Thu33	0.124	Thu33	FALSE	0.1 < p < 0.25	1
248	Thu39	0.071	0.012	0.035	0.04	0.008	0.044	0.029	0.047	0.013	0.034	0.013	0.011	0.188	0.082	0.023	0.021	0.166	0.062	0.033	0.068	7	Thu32	0.188	Thu32	TRUE	0.1 < p < 0.25	1
254	Thu32	0.067	0.021	0.042	0.047	0.017	0.023	0.063	0.04	0.01	0.057	0.011	0.033	0.054	0.056	0.035	0.149	0.097	0.049	0.069	0.059	7	Thu35	0.149	Thu35	TRUE	0.1 < p < 0.25	1
255	Thu32	0.062	0.007	0.073	0.046	0.008	0.043	0.03	0.11	0.005	0.059	0.006	0.008	0.048	0.067	0.051	0.023	0.122	0.072	0.084	0.075	7	Thu36	0.122	Thu36	TRUE	0.1 < p < 0.25	1
269	Thu32	0.06	0.022	0.131	0.079	0.008	0.033	0.048	0.042	0.027	0.038	0.03	0.014	0.138	0.032	0.078	0.013	0.077	0.05	0.028	0.051	7	Thu32	0.138	Thu32	FALSE	0.1 < p < 0.25	1
271	Thu33	0.095	0.009	0.05	0.071	0.006	0.098	0.03	0.071	0.01	0.041	0.008	0.008	0.045	0.057	0.053	0.023	0.05	0.085	0.051	0.137	7	Thu39	0.137	Thu39	TRUE	0.1 < p < 0.25	1
273	Thu20	0.112	0.015	0.354	0.038	0.006	0.022	0.064	0.018	0.013	0.042	0.012	0.017	0.017	0.03	0.025	0.013	0.063	0.054	0.052	0.035	7	Thu22	0.354	Thu22	TRUE	0.25 < p < 0.5	1
274	Thu33	0.095	0.011	0.063	0.119	0.009	0.031	0.057	0.027	0.01	0.042	0.009	0.011	0.028	0.086	0.044	0.024	0.07	0.068	0.117	0.08	7	Thu23	0.119	Thu23	TRUE	0.1 < p < 0.25	1
277	Thu23	0.106	0.016	0.098	0.076	0.007	0.069	0.038	0.037	0.015	0.049	0.014	0.008	0.034	0.06	0.086	0.023	0.055	0.071	0.062	0.077	7	Thu20	0.106	Thu20	TRUE	0.1 < p < 0.25	1
279	Thu33	0.04	0.007	0.056	0.141	0.009	0.034	0.02	0.037	0.007	0.036	0.007	0.007	0.038	0.055	0.038	0.02	0.244	0.069	0.082	0.051	7	Thu36	0.244	Thu36	TRUE	0.1 < p < 0.25	1
