idind	rha101	rha101b	rha109	rha109b	rha4	rha4b	rha7	rha7b	rhc108	rhc108b	rhc3	rhc3b	rhd102	rhd102b	rhd103	rhd103b	idcol	sexe	ageWhenFirstCaptur	yearWhenFirstCaptur	col2015_1	col2015_2	col2016_1	col2016_2	col2017_1	col2017_2
169	134	134	186	188	0	0	229	229	215	215	169	169	247	259	220	220	Thu35	M	Adult	2015	Thu35	NA	NA	Thu35	NA	NA
170	134	134	186	188	0	0	228	229	215	215	169	169	247	247	208	212	Thu35	M	Adult	2015	Thu35	NA	NA	NA	NA	NA
171	134	134	186	188	0	0	228	235	214	218	169	177	247	247	220	224	Thu33	M	Adult	2015	Thu33	NA	NA	NA	NA	NA
172	134	134	177	186	290	290	228	228	215	218	169	169	247	247	220	228	Thu23	M	Juv	2016	NA	NA	NA	Thu23	NA	NA
173	134	134	177	186	268	290	226	235	215	228	169	177	243	243	228	228	Thu37	M	Juv	2016	NA	NA	NA	Thu37	NA	NA
174	134	134	177	186	268	290	226	228	215	218	169	177	243	255	212	220	Thu23	M	Juv	2016	NA	NA	NA	Thu23	NA	NA
175	134	134	177	186	268	290	228	228	214	220	169	177	247	247	220	228	Thu20	M	Adult	2016	NA	NA	Thu20	NA	NA	NA
177	134	134	177	186	268	290	228	228	0	0	169	177	255	255	220	228	Thu29	M	Adult	2017	NA	NA	NA	NA	Thu29	NA
178	134	134	177	186	268	268	228	237	215	218	177	177	255	255	212	220	Thu23	M	Juv	2016	NA	NA	NA	Thu23	NA	NA
179	134	134	177	186	268	268	228	228	214	224	169	177	251	259	224	228	Thu39	M	Juv	2016	NA	NA	NA	Thu39	NA	NA
180	134	134	177	186	288	290	228	228	215	218	169	177	247	259	220	224	Thu20	M	Adult	2015	Thu20	NA	NA	NA	NA	NA
181	134	134	177	186	268	288	228	228	212	215	169	177	259	259	212	212	Thu20	M	Juv	2016	NA	NA	NA	Thu20	NA	NA
183	134	134	177	186	268	288	228	228	214	218	169	177	247	255	212	216	Thu25	M	Juv	2017	NA	NA	NA	NA	NA	Thu25
185	134	134	177	186	268	286	228	228	214	214	169	169	259	259	212	220	Thu20	M	Juv	2016	NA	NA	NA	Thu20	NA	NA
186	134	134	186	186	290	290	226	228	215	218	169	169	238	255	212	220	Thu36	M	Adult	2015	Thu36	NA	NA	NA	NA	NA
187	134	134	186	186	290	290	226	228	214	218	169	177	247	247	220	228	Thu20	M	Adult	2015	Thu20	Thu20	NA	NA	NA	NA
188	134	134	186	186	290	290	226	228	218	218	169	169	243	243	220	220	Thu36	M	Adult	2015	Thu36	NA	NA	NA	NA	NA
189	134	134	186	186	290	290	228	228	215	218	169	169	238	238	224	224	Thu23	M	Adult	2015	Thu23	NA	NA	NA	NA	NA
190	134	134	186	186	290	290	0	0	0	0	169	169	247	247	220	220	Thu37	M	Adult	2017	NA	NA	NA	NA	Thu37	NA
191	134	134	186	186	268	290	237	237	214	218	169	169	238	243	220	220	Thu39	M	Adult	2016	NA	NA	Thu39	NA	NA	NA
