"offspring" "father" "mother" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35"
202 NA 196 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 175 175 288 288 228 229 207 216 169 173 247 259 216 216
663 NA 196 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 175 175 288 288 228 229 207 216 169 173 247 259 216 216
260 NA 196 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 175 175 288 288 228 229 207 216 169 173 247 259 216 216
2897 NA 196 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 175 175 288 288 228 229 207 216 169 173 247 259 216 216
282 NA 209 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 188 265 288 229 235 211 216 173 173 255 255 216 220
3670 NA 209 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 188 265 288 229 235 211 216 173 173 255 255 216 220
2867 NA 209 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 188 265 288 229 235 211 216 173 173 255 255 216 220
3644 NA 215 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 177 186 268 290 233 233 216 220 169 169 251 263 216 220
3635 NA 223 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 177 188 284 290 231 233 220 220 169 169 247 247 220 224
1949 NA 223 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 177 188 284 290 231 233 220 220 169 169 247 247 220 224
1150 NA 223 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 177 188 284 290 231 233 220 220 169 169 247 247 220 224
189 NA 230 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 186 188 268 290 233 235 211 220 169 169 247 247 220 220
2870 NA 230 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 186 188 268 290 233 235 211 220 169 169 247 247 220 220
3686 NA 233 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 177 190 284 286 229 233 216 220 169 177 247 247 216 216
3621 NA 233 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 177 190 284 286 229 233 216 220 169 177 247 247 216 216
3680 NA 234 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 186 268 268 233 235 216 220 169 173 243 263 220 228
2811 NA 237 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 186 188 268 290 229 233 216 216 169 169 243 251 216 220
198 NA 243 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 148 186 186 268 268 233 237 216 218 169 173 251 255 220 232
3639 NA 243 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 148 186 186 268 268 233 237 216 218 169 173 251 255 220 232
1973 NA 243 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 148 186 186 268 268 233 237 216 218 169 173 251 255 220 232
1945 NA 244 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 177 184 268 288 229 233 211 216 173 173 247 247 216 224
1153 NA 244 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 177 184 268 288 229 233 211 216 173 173 247 247 216 224
2837 NA 285 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 186 186 265 284 228 241 216 218 169 169 243 251 224 224
1960 NA 285 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 186 186 265 284 228 241 216 218 169 169 243 251 224 224
166 NA 297 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 177 186 286 288 233 235 216 220 173 173 247 255 224 224
3643 NA 297 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 177 186 286 288 233 235 216 220 173 173 247 255 224 224
2834 NA 297 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 177 186 286 288 233 235 216 220 173 173 247 255 224 224
3154 NA 299 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 186 188 268 284 235 237 211 220 169 169 255 255 224 232
261 NA 301 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 138 138 186 186 265 288 233 237 211 216 169 177 247 259 216 216
2881 NA 301 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 138 138 186 186 265 288 233 237 211 216 169 177 247 259 216 216
2192 NA 305 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 146 175 188 288 290 233 237 216 216 169 169 251 251 220 228
552 NA 305 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 146 175 188 288 290 233 237 216 216 169 169 251 251 220 228
3126 NA 305 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 146 175 188 288 290 233 237 216 216 169 169 251 251 220 228
3668 NA 313 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 142 175 186 288 288 229 241 216 220 169 173 251 263 216 216
207 NA 313 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 142 175 186 288 288 229 241 216 220 169 173 251 263 216 216
2844 NA 313 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 142 175 186 288 288 229 241 216 220 169 173 251 263 216 216
2871 NA 313 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 142 175 186 288 288 229 241 216 220 169 173 251 263 216 216
551 NA 315 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 175 284 286 228 235 216 216 165 169 247 251 216 220
2165 NA 315 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 175 284 286 228 235 216 216 165 169 247 251 216 220
557 NA 316 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 186 268 268 235 237 210 216 169 169 247 247 220 224
3986 NA 316 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 186 268 268 235 237 210 216 169 169 247 247 220 224
4001 NA 326 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 188 268 290 228 235 216 218 169 181 247 263 220 228
2179 NA 326 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 188 268 290 228 235 216 218 169 181 247 263 220 228
538 NA 326 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 188 268 290 228 235 216 218 169 181 247 263 220 228
2622 NA 327 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 142 175 188 265 286 233 237 216 220 165 173 238 255 220 220
3961 NA 333 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 186 186 268 268 228 233 211 222 169 169 247 251 220 232
555 NA 333 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 186 186 268 268 228 233 211 222 169 169 247 251 220 232
