"offspring" "father" "occurences"
3627 1226 1
3636 1026 1
3651 1222 1
3860 1226 1
4131 1829 1
4136 1799 1
4160 1701 1
4201 1701 1
4247 1829 1
4261 1829 2
4320 1799 1
4323 1799 1
4331 1222 1
4375 1701 1
4437 1236 2
108 162 1
163 162 1
165 162 1
207 162 1
252 162 1
353 1236 1
361 1236 1
839 1013 1
856 855 1
999 1013 1
1010 1008 1
1014 1625 1
1015 1625 1
1046 1053 1
1055 1053 1
1062 1779 1
1087 1008 1
1092 1008 1
1100 1787 1
1104 1053 1
1129 1013 1
1225 1791 1
1232 1236 1
1264 1008 1
1644 1236 1
1703 1625 1
1743 1625 1
1781 1008 1
1784 1779 1
1785 1053 1
1793 1779 1
1802 1779 1
1805 1779 1
1810 1779 1
1816 1625 1
1828 1053 1
1916 1013 1
2004 162 1
2008 162 1
2067 162 1
2380 162 1
2522 162 1
2526 162 1
2537 162 1
2990 1625 1
3088 1008 1
3101 1787 1
3104 855 1
3314 1013 1
3316 1013 1
3343 1053 1
3357 1013 1
3358 1222 2
3367 855 1
3381 855 1
3387 1779 1
3390 1779 1
3391 1829 1
3392 1053 1
3394 1779 1
3396 1779 1
3399 1053 1
3429 1779 1
3463 855 1
3468 855 1
3482 1779 1
3527 1013 1
3637 1013 1
3648 1236 1
4149 1236 1
4160 1625 1
4201 855 1
4263 1829 1
4320 1013 1
4407 1779 1
4408 1779 1
4463 1222 1
25 519 1
207 161 1
264 349 1
308 349 1
399 12 1
427 161 1
550 846 1
591 4474 1
598 1301 1
607 12 1
735 12 1
781 12 1
808 1738 1
847 846 1
900 818 1
911 818 1
927 12 1
991 519 1
1059 846 1
1061 846 1
1063 1301 1
1087 1789 1
1088 1791 1
1097 1789 1
1104 1789 1
1113 846 1
1130 981 1
1206 1301 1
1243 1301 1
1254 1301 1
1287 1301 1
1312 1301 1
1341 12 1
1371 12 1
1644 1738 1
1662 1688 1
1666 1738 1
1694 1688 1
1702 1688 1
1703 1688 1
1742 1789 1
1743 1738 1
1781 1789 1
1785 1222 1
1790 1780 1
1803 1829 1
1824 1789 1
1839 1780 1
1916 1791 1
1925 64 1
1935 519 1
2067 161 1
2069 519 1
2117 12 1
2185 349 1
2380 519 1
2451 818 1
2537 519 1
2724 12 1
2990 349 1
3088 1301 1
3089 846 1
3102 846 1
3104 846 1
3161 818 1
3168 818 1
3208 822 1
3314 1026 1
3360 846 1
3392 1026 1
3440 1026 1
3457 1233 1
3463 1738 1
3482 846 1
3511 12 1
3595 1301 1
3627 1688 1
3648 1688 1
3704 1301 1
3736 12 1
3759 12 1
3760 12 1
4001 12 1
4105 1738 1
4131 1789 1
4155 1789 1
4156 1789 1
4160 1789 1
4201 1688 1
4247 1789 1
4259 1738 1
4261 1789 1
4264 1688 1
4356 1688 1
4393 1688 1
4407 1688 1
4454 349 1
4462 1301 1
